mode,ox/red,error,control changes,counter inc.,Ns,time/s,control/V,Voltage(V),Current(A),<I>/mA,dQ/mA.h,I Range,Pwe/W,Rwe/Ohm,Power density(W/cm2)
3,0,0,1,0,0,252443.680898469,0.0,0.8904112,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252444.680898626,0.0,0.94700152,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252445.680898782,0.0,0.95749182,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252446.680898939,0.0,0.96334732,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252447.680899095,0.0,0.96758157,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252448.680899252,0.0,0.97086221,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252449.680899408,0.0,0.97330356,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252450.680899565,0.0,0.9755733,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252451.680899721,0.0,0.97742337,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252452.680899878,0.0,0.97879666,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252453.680900034,0.0,0.98022717,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252454.680900191,0.0,0.98156226,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252455.680900347,0.0,0.9826113,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252456.680900503,0.0,0.98356497,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252457.68090066,0.0,0.98459494,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252458.680900816,0.0,0.98568207,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252459.680900973,0.0,0.98627335,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252460.680901129,0.0,0.98732239,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252461.680901286,0.0,0.98776108,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252462.680901442,0.0,0.98863846,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252463.680901599,0.0,0.98905808,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252464.680901755,0.0,0.9897638,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252465.680901912,0.0,0.99041224,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252466.680902068,0.0,0.99090815,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252467.680902225,0.0,0.99121332,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252468.680902381,0.0,0.99188089,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252469.680902537,0.0,0.99252939,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252470.680902694,0.0,0.99275827,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252471.68090285,0.0,0.99321604,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,1,0,0,252472.680903007,0.0,0.99352121,0.0,0.0,-0.000347640380859375,14,0.0,0.0,0.0
3,0,0,0,0,0,252473.680703163,0.99413228,0.99462748,0.0,0.0,0.0,26,0.0,0.0,0.0
2,0,0,0,0,1,252473.682503164,0.99431288,0.99472284,0.0192880978849199,-19.2880978849199,-9.64404830667707e-06,26,-0.019186312,51.571846,0.0007674524602514206
2,0,0,0,0,1,252473.684503164,0.99421281,0.99472284,0.033570775604248,-33.570775604248,-2.82944770786497e-05,26,-0.033393618,29.630619,0.001335744690002411
2,0,0,0,0,1,252473.686503164,0.99411279,0.99441767,0.0410513681411743,-41.0513681411743,-5.11007918649249e-05,26,-0.040822204,24.22374,0.001632888234290351
2,0,0,0,0,1,252473.688503164,0.99401271,0.99439859,0.0440028953552246,-44.0028953552246,-7.55468435684839e-05,26,-0.043756418,22.59848,0.001750256683886116
2,0,0,0,0,1,252473.690503163,0.99391264,0.99437952,0.0468526435852051,-46.8526435852051,-0.000101576088733143,26,-0.046589307,21.223553,0.001863572369559493
2,0,0,0,0,1,252473.692503164,0.99381262,0.99411249,0.0508728282928467,-50.8728282928467,-0.000129838769846492,26,-0.050573315,19.541128,0.002022932560301771
2,0,0,0,0,1,252473.694503165,0.99371254,0.9940362,0.0502621646881103,-50.2621646881103,-0.000157762194249365,26,-0.049962413,19.777027,0.001998496447613734
2,0,0,0,0,1,252473.696503166,0.99361247,0.9940362,0.0541805755615234,-54.1805755615234,-0.00018786251188649,26,-0.053857453,18.346727,0.002154298137799584
2,0,0,0,0,1,252473.698503167,0.99351245,0.99376917,0.0540787994384765,-54.0787994384765,-0.000217906287233034,26,-0.053741843,18.376318,0.00214967374530285
2,0,0,0,0,1,252473.700503167,0.99341238,0.99384546,0.0542314617156982,-54.2314617156982,-0.000248034875379668,26,-0.053897694,18.325994,0.002155907680612419
2,0,0,0,0,1,252473.702503167,0.9933123,0.9936738,0.0541805763244628,-54.1805763244628,-0.000278135193440649,26,-0.053837821,18.340038,0.002153512766500759
2,0,0,0,0,1,252473.704503167,0.99321228,0.99348307,0.0560125576019287,-56.0125576019287,-0.000309253279301855,26,-0.055647526,17.736792,0.002225901107396639
2,0,0,0,0,1,252473.706503166,0.99311221,0.99354029,0.0584551986694336,-58.4551986694336,-0.000341728388402197,26,-0.058077596,16.996611,0.002323103801521467
2,0,0,0,0,1,252473.708503167,0.99301213,0.99342585,0.0590658611297607,-59.0658611297607,-0.000374542753577232,26,-0.058677554,16.818951,0.002347102131952579
2,0,0,0,0,1,252473.710503168,0.99291211,0.99329233,0.0577936477661132,-57.7936477661132,-0.000406650334821807,26,-0.057405986,17.186878,0.002296239481952075
2,0,0,0,0,1,252473.712503169,0.99281204,0.99323511,0.0603889572143555,-60.3889572143555,-0.000440199754648738,26,-0.059980433,16.447296,0.002399217302463427
2,0,0,0,0,1,252473.71450317,0.99271196,0.9930253,0.0586587539672852,-58.6587539672852,-0.000472787949177953,26,-0.058249626,16.92885,0.002329985070239583
2,0,0,0,0,1,252473.716503169,0.99261194,0.99296808,0.0607451759338379,-60.7451759338379,-0.000506535267869631,26,-0.060318019,16.346451,0.002412720828651409
2,0,0,0,0,1,252473.718503169,0.99251187,0.99289179,0.0610505077362061,-61.0505077362061,-0.000540452214492691,26,-0.060616549,16.263449,0.002424661916264421
2,0,0,0,0,1,252473.720503169,0.99241185,0.99277735,0.0599818504333496,-59.9818504333496,-0.000573775463885731,26,-0.059548624,16.551296,0.002381944900852687
2,0,0,0,0,1,252473.722503168,0.99231178,0.9927392,0.06217005004882811,-62.1700500488281,-0.000608314379731814,26,-0.061718646,15.968126,0.002468745829977343
2,0,0,0,0,1,252473.724503169,0.9922117,0.99272013,0.061864722442627,-61.864722442627,-0.000642683667858441,26,-0.061414354,16.046627,0.002456574212226344
2,0,0,0,0,1,252473.726503171,0.99211168,0.99264383,0.0618138328552247,-61.8138328552247,-0.000677024683568212,26,-0.061359119,16.058603,0.002454364791695604
2,0,0,0,0,1,252473.728503171,0.99201161,0.99230051,0.0628315994262695,-62.8315994262695,-0.000711931126422352,26,-0.062347829,15.793016,0.002493913126192117
2,0,0,0,0,1,252473.730503172,0.99191153,0.99231958,0.0654269104003906,-65.4269104003906,-0.000748279406587282,26,-0.064924404,15.166842,0.002596976169968529
2,0,0,0,0,1,252473.732503171,0.99181151,0.99207163,0.06471447525024421,-64.7144752502442,-0.000784231889446576,26,-0.064201392,15.32998,0.002568055797844177
2,0,0,0,0,1,252473.734503172,0.99171144,0.99210978,0.06395114402771,-63.95114402771,-0.000819760300676027,26,-0.063446552,15.513557,0.002537862217283188
