mode,ox/red,error,control changes,counter inc.,Ns,time/s,control/V,Voltage(V),<I>/mA,Current(A),dQ/mA.h,I Range,Pwe/W,Rwe/Ohm,Power density(W/cm2)
3,0,0,0,0,0,225.377394306488,0.0,0.86747879,0.0,0.0,0.0,14,0.0,0.0,0.0
3,0,0,0,0,0,226.377394281225,0.0,0.93911791,0.0,0.0,0.0,14,0.0,0.0,0.0
3,0,0,0,0,0,227.377394255963,0.0,0.94859731,0.0,0.0,0.0,14,0.0,0.0,0.0
3,0,0,0,0,0,228.377394230701,0.0,0.95368987,0.0,0.0,0.0,14,0.0,0.0,0.0
3,0,0,0,0,0,229.377394205439,0.0,0.95725656,0.0,0.0,0.0,14,0.0,0.0,0.0
3,0,0,0,0,0,230.377394180177,0.0,0.96019387,0.0,0.0,0.0,14,0.0,0.0,0.0
3,0,0,0,0,0,231.377394154915,0.0,0.96223468,0.0,0.0,0.0,14,0.0,0.0,0.0
3,0,0,0,0,0,232.377394129653,0.0,0.9640848,0.0,0.0,0.0,14,0.0,0.0,0.0
3,0,0,0,0,0,233.377394104391,0.0,0.96551526,0.0,0.0,0.0,14,0.0,0.0,0.0
3,0,0,0,0,0,234.377394079128,0.0,0.96686947,0.0,0.0,0.0,14,0.0,0.0,0.0
3,0,0,1,0,0,235.377194053871,0.96793294,0.96839535,0.0,0.0,0.0,26,0.0,0.0,0.0
2,0,0,1,0,1,235.379794053806,0.96811825,0.96845257,-20.8408462817852,0.020840846281785202,-1.50517213609483e-05,26,-0.020183371,46.468967,0.0008073348457027929
2,0,0,1,0,1,235.382994053725,0.96801823,0.96845257,-29.1053151488304,0.0291053151488304,-4.09231126043531e-05,26,-0.028187117,33.274078,0.0011274846902617893
2,0,0,0,0,1,235.386394053639,0.96791816,0.96833813,-35.7320344027351,0.035732034402735105,-7.46700318654378e-05,26,-0.03460069,27.1,0.0013840276549856071
2,0,0,1,0,1,235.389794053553,0.96781808,0.96835721,-38.4560580534093,0.0384560580534093,-0.000110989642037285,26,-0.037239201,25.180876,0.0014895680433678984
2,0,0,1,0,1,235.392994053472,0.96771806,0.96810925,-39.9827100038528,0.039982710003852805,-0.000146529828707377,26,-0.038707633,24.213198,0.0015483052557918975
2,0,0,0,0,1,235.396394053386,0.96761799,0.96789944,-40.8508079753202,0.0408508079753202,-0.000185111145231458,26,-0.039539475,23.69352,0.0015815789665143984
