Date/Time,CycleTime,Loader,Loader SV,Voltage(V),Current(A),Watt(W),A/งฒ,W/งฒ,An_n2 On,Ca_N2 On,Non,Non.1,Non.2,Non.3,Non.4,An_H2(5L)(งค/min),Ca_Air(20L)(งค/min),An_Water(กษ),An_Humidifier(กษ),An_Line Heater(กษ),Ca_Water(กษ),Ca_Humidifier(กษ),Ca_Line Heater(กษ)
2025-01-30 10:44:11,10:00:31,CV,0.9,0.957,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.78,55.4,58.3,65.0,55.4,58.3,65.1
2025-01-30 10:44:12,10:00:32,CV,0.895,0.957,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.29,0.8,55.4,58.3,65.0,55.4,58.3,65.1
2025-01-30 10:44:13,10:00:33,CV,0.89,0.52,0.001,0.001,0.0,0.0,F,F,F,F,F,F,F,0.3,0.76,55.4,58.3,65.0,55.4,58.3,65.1
2025-01-30 10:44:14,10:00:34,CV,0.885,0.929,0.002,0.002,0.0,0.0,F,F,F,F,F,F,F,0.31,0.76,55.4,58.3,65.0,55.4,58.3,65.1
2025-01-30 10:44:15,10:00:35,CV,0.88,0.879,0.33,0.29,0.013,0.012,F,F,F,F,F,F,F,0.29,0.79,55.4,58.3,65.0,55.4,58.3,65.1
2025-01-30 10:44:16,10:00:36,CV,0.875,0.923,0.001,0.001,0.0,0.0,F,F,F,F,F,F,F,0.29,0.79,55.4,58.3,65.0,55.4,58.3,65.1
2025-01-30 10:44:17,10:00:37,CV,0.87,0.928,0.001,0.001,0.0,0.0,F,F,F,F,F,F,F,0.29,0.79,55.4,58.3,65.0,55.4,58.3,65.1
2025-01-30 10:44:18,10:00:38,CV,0.865,0.873,0.338,0.295,0.014,0.012,F,F,F,F,F,F,F,0.29,0.79,55.4,58.3,65.0,55.4,58.3,65.1
2025-01-30 10:44:19,10:00:39,CV,0.86,0.871,0.35,0.305,0.014,0.012,F,F,F,F,F,F,F,0.29,0.76,55.4,58.3,65.0,55.4,58.4,65.1
2025-01-30 10:44:20,10:00:40,CV,0.855,0.924,0.262,0.242,0.01,0.01,F,F,F,F,F,F,F,0.3,0.74,55.4,58.3,65.0,55.4,58.4,65.1
2025-01-30 10:44:21,10:00:41,CV,0.85,0.856,0.525,0.449,0.021,0.018,F,F,F,F,F,F,F,0.3,0.75,55.4,58.3,65.0,55.4,58.4,65.1
2025-01-30 10:44:22,10:00:42,CV,0.845,0.846,0.745,0.63,0.03,0.025,F,F,F,F,F,F,F,0.3,0.77,55.4,58.3,65.0,55.4,58.4,65.1
2025-01-30 10:44:23,10:00:43,CV,0.84,0.912,0.001,0.001,0.0,0.0,F,F,F,F,F,F,F,0.31,0.75,55.4,58.3,65.0,55.4,58.4,65.1
2025-01-30 10:44:24,10:00:44,CV,0.835,0.845,0.7,0.591,0.028,0.024,F,F,F,F,F,F,F,0.31,0.76,55.4,58.3,65.0,55.4,58.4,65.1
2025-01-30 10:44:25,10:00:45,CV,0.83,0.857,0.719,0.616,0.029,0.025,F,F,F,F,F,F,F,0.29,0.75,55.4,58.3,65.0,55.4,58.4,65.1
2025-01-30 10:44:26,10:00:46,CV,0.825,0.835,0.945,0.789,0.038,0.032,F,F,F,F,F,F,F,0.29,0.76,55.4,58.3,65.0,55.4,58.4,65.1
2025-01-30 10:44:27,10:00:47,CV,0.82,0.909,1.06,0.964,0.042,0.039,F,F,F,F,F,F,F,0.28,0.76,55.4,58.3,65.0,55.4,58.4,65.1
2025-01-30 10:44:28,10:00:48,CV,0.815,0.833,0.971,0.809,0.039,0.032,F,F,F,F,F,F,F,0.3,0.78,55.4,58.3,65.0,55.4,58.4,65.1
2025-01-30 10:44:29,10:00:49,CV,0.81,0.84,0.825,0.693,0.033,0.028,F,F,F,F,F,F,F,0.3,0.77,55.4,58.3,65.0,55.4,58.4,65.1
2025-01-30 10:44:30,10:00:50,CV,0.805,0.816,1.53,1.248,0.061,0.05,F,F,F,F,F,F,F,0.3,0.76,55.4,58.3,65.0,55.4,58.4,65.1
2025-01-30 10:44:31,10:00:51,CV,0.8,0.824,1.178,0.971,0.047,0.039,F,F,F,F,F,F,F,0.3,0.77,55.4,58.3,65.0,55.4,58.4,65.0
2025-01-30 10:44:32,10:00:52,CV,0.795,0.806,1.982,1.597,0.079,0.064,F,F,F,F,F,F,F,0.29,0.78,55.4,58.3,65.0,55.4,58.4,65.0
2025-01-30 10:44:33,10:00:53,CV,0.79,0.812,2.321,1.885,0.093,0.075,F,F,F,F,F,F,F,0.29,0.78,55.4,58.3,65.0,55.4,58.5,65.0
2025-01-30 10:44:34,10:00:54,CV,0.785,0.818,1.597,1.306,0.064,0.052,F,F,F,F,F,F,F,0.29,0.79,55.4,58.3,65.0,55.4,58.5,65.0
2025-01-30 10:44:35,10:00:55,CV,0.78,0.806,2.052,1.654,0.082,0.066,F,F,F,F,F,F,F,0.3,0.77,55.4,58.3,64.9,55.4,58.5,65.0
2025-01-30 10:44:36,10:00:56,CV,0.775,0.786,3.177,2.497,0.127,0.1,F,F,F,F,F,F,F,0.3,0.77,55.4,58.3,64.9,55.4,58.5,65.0
2025-01-30 10:44:37,10:00:57,CV,0.77,0.792,2.843,2.252,0.114,0.09,F,F,F,F,F,F,F,0.29,0.79,55.4,58.3,64.9,55.4,58.5,65.0
2025-01-30 10:44:38,10:00:58,CV,0.765,0.776,3.921,3.043,0.157,0.122,F,F,F,F,F,F,F,0.29,0.79,55.4,58.3,65.0,55.4,58.5,65.0
2025-01-30 10:44:39,10:00:59,CV,0.76,0.782,3.136,2.452,0.125,0.098,F,F,F,F,F,F,F,0.3,0.76,55.4,58.3,65.0,55.4,58.5,65.0
2025-01-30 10:44:40,10:01:00,CV,0.755,0.766,4.712,3.609,0.188,0.144,F,F,F,F,F,F,F,0.3,0.76,55.4,58.2,65.0,55.4,58.5,65.0
2025-01-30 10:44:41,10:01:01,CV,0.75,0.785,3.869,3.037,0.155,0.121,F,F,F,F,F,F,F,0.29,0.78,55.4,58.2,65.0,55.4,58.4,65.0
2025-01-30 10:44:42,10:01:02,CV,0.745,0.755,5.647,4.263,0.226,0.171,F,F,F,F,F,F,F,0.3,0.75,55.4,58.2,65.0,55.4,58.4,65.0
2025-01-30 10:44:43,10:01:03,CV,0.74,0.778,4.094,3.185,0.164,0.127,F,F,F,F,F,F,F,0.3,0.76,55.4,58.2,64.9,55.4,58.4,65.0
2025-01-30 10:44:44,10:01:04,CV,0.735,0.745,6.681,4.977,0.267,0.199,F,F,F,F,F,F,F,0.28,0.75,55.4,58.2,64.9,55.4,58.4,65.0
2025-01-30 10:44:45,10:01:05,CV,0.73,0.768,6.437,4.944,0.257,0.198,F,F,F,F,F,F,F,0.3,0.8,55.4,58.2,64.9,55.4,58.4,65.0
2025-01-30 10:44:46,10:01:06,CV,0.725,0.736,7.618,5.607,0.305,0.224,F,F,F,F,F,F,F,0.3,0.76,55.4,58.2,64.9,55.4,58.4,65.0
2025-01-30 10:44:47,10:01:07,CV,0.72,0.737,6.15,4.533,0.246,0.181,F,F,F,F,F,F,F,0.3,0.76,55.4,58.2,64.9,55.4,58.4,65.0
2025-01-30 10:44:48,10:01:08,CV,0.715,0.725,8.758,6.35,0.35,0.254,F,F,F,F,F,F,F,0.29,0.79,55.4,58.3,64.9,55.4,58.4,65.0
2025-01-30 10:44:49,10:01:09,CV,0.71,0.735,7.897,5.804,0.316,0.232,F,F,F,F,F,F,F,0.29,0.78,55.4,58.3,64.9,55.4,58.4,65.0
2025-01-30 10:44:50,10:01:10,CV,0.705,0.766,5.58,4.274,0.223,0.171,F,F,F,F,F,F,F,0.3,0.79,55.4,58.3,64.9,55.4,58.4,65.0
2025-01-30 10:44:51,10:01:11,CV,0.7,0.71,10.4,7.384,0.416,0.295,F,F,F,F,F,F,F,0.3,0.77,55.4,58.3,64.9,55.4,58.4,65.0
