Date/Time,CycleTime,Loader,Loader SV,Voltage(V),Current(A),Watt(W),A/งฒ,W/งฒ,An_n2 On,Ca_N2 On,Non,Non,Non,Non,Non,An_H2(5L)(งค/min),Ca_Air(20L)(งค/min),An_Water(กษ),An_Humidifier(กษ),An_Line Heater(กษ),Ca_Water(กษ),Ca_Humidifier(กษ),Ca_Line Heater(กษ)
2025-02-01 13:01,10:00:31,CV,0.9,0.956,0,0,0,0,F,F,F,F,F,F,F,0.29,0.78,55.9,58.2,65,55.4,58.4,65
2025-02-01 13:01,10:00:32,CV,0.895,0.956,0,0,0,0,F,F,F,F,F,F,F,0.3,0.77,55.9,58.2,65,55.4,58.4,65
2025-02-01 13:01,10:00:33,CV,0.89,0.516,30.03,15.495,1.201,0.62,F,F,F,F,F,F,F,0.29,0.78,55.9,58.2,65,55.4,58.4,65
2025-02-01 13:01,10:00:34,CV,0.885,0.927,0,0,0,0,F,F,F,F,F,F,F,0.29,0.71,55.9,58.2,65,55.4,58.4,65
2025-02-01 13:01,10:00:35,CV,0.88,0.934,0,0,0,0,F,F,F,F,F,F,F,0.29,0.76,55.9,58.2,65,55.4,58.4,65
2025-02-01 13:01,10:00:36,CV,0.875,0.88,0.277,0.244,0.011,0.01,F,F,F,F,F,F,F,0.3,0.79,55.9,58.2,65,55.4,58.4,65
2025-02-01 13:01,10:00:37,CV,0.87,0.926,0,0,0,0,F,F,F,F,F,F,F,0.29,0.78,55.9,58.2,65,55.4,58.4,65
2025-02-01 13:01,10:00:38,CV,0.865,0.932,0.099,0.092,0.004,0.004,F,F,F,F,F,F,F,0.29,0.79,55.9,58.2,65,55.4,58.4,65
2025-02-01 13:01,10:00:39,CV,0.86,0.921,0,0,0,0,F,F,F,F,F,F,F,0.3,0.78,55.9,58.2,65,55.4,58.4,65
2025-02-01 13:01,10:00:40,CV,0.855,0.882,0.363,0.32,0.015,0.013,F,F,F,F,F,F,F,0.3,0.79,55.9,58.2,65,55.3,58.4,65
2025-02-01 13:01,10:00:41,CV,0.85,0.912,0,0,0,0,F,F,F,F,F,F,F,0.29,0.72,55.9,58.2,65,55.3,58.4,65
2025-02-01 13:01,10:00:42,CV,0.845,0.856,0.486,0.416,0.019,0.017,F,F,F,F,F,F,F,0.3,0.75,55.9,58.2,64.9,55.3,58.4,65
2025-02-01 13:01,10:00:43,CV,0.84,0.918,0,0,0,0,F,F,F,F,F,F,F,0.3,0.78,55.9,58.2,64.9,55.3,58.4,65
2025-02-01 13:01,10:00:44,CV,0.835,0.85,0.348,0.296,0.014,0.012,F,F,F,F,F,F,F,0.31,0.79,55.9,58.2,64.9,55.3,58.4,65
2025-02-01 13:01,10:00:45,CV,0.83,0.9,0.92,0.828,0.037,0.033,F,F,F,F,F,F,F,0.29,0.76,55.9,58.2,65,55.3,58.4,65
2025-02-01 13:01,10:00:46,CV,0.825,0.852,0.817,0.696,0.033,0.028,F,F,F,F,F,F,F,0.3,0.75,55.9,58.2,65,55.3,58.4,65
2025-02-01 13:01,10:00:47,CV,0.82,0.84,0.749,0.629,0.03,0.025,F,F,F,F,F,F,F,0.29,0.79,55.9,58.2,65,55.3,58.4,64.9
2025-02-01 13:01,10:00:48,CV,0.815,0.826,1.125,0.929,0.045,0.037,F,F,F,F,F,F,F,0.29,0.76,55.9,58.3,64.9,55.3,58.4,64.9
2025-02-01 13:01,10:00:49,CV,0.81,0.826,1.114,0.92,0.045,0.037,F,F,F,F,F,F,F,0.29,0.79,55.9,58.3,64.9,55.3,58.3,64.9
