Date/Time,CycleTime,Loader,Loader SV,Voltage(V),Current(A),Watt(W),A/งฒ,W/งฒ,An_n2 On,Ca_N2 On,Non,Non.1,Non.2,Non.3,Non.4,An_H2(5L)(งค/min),Ca_Air(20L)(งค/min),An_Water(กษ),An_Humidifier(กษ),An_Line Heater(กษ),Ca_Water(กษ),Ca_Humidifier(กษ),Ca_Line Heater(กษ),Cell (V) 1
2025-01-23 09:51:00,10:00:31,CV,0.9,0.966,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.29,0.79,55.4,58.4,65.0,55.3,58.4,64.9,0.0
2025-01-23 09:51:01,10:00:32,CV,0.895,0.966,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.29,0.79,55.4,58.4,64.9,55.3,58.4,64.9,0.0
2025-01-23 09:51:02,10:00:33,CV,0.89,0.305,38.58,11.767,1.543,0.471,F,F,F,F,F,F,F,0.29,0.78,55.4,58.4,64.9,55.3,58.4,64.9,0.0
2025-01-23 09:51:03,10:00:34,CV,0.885,0.934,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.76,55.4,58.3,64.9,55.3,58.4,64.9,0.0
2025-01-23 09:51:04,10:00:35,CV,0.88,0.941,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.76,55.4,58.3,64.9,55.3,58.4,64.9,0.0
2025-01-23 09:51:05,10:00:36,CV,0.875,0.854,0.415,0.354,0.017,0.014,F,F,F,F,F,F,F,0.29,0.78,55.4,58.3,64.9,55.3,58.4,64.9,0.0
2025-01-23 09:51:06,10:00:37,CV,0.87,0.929,0.0,0.0,0.0,0.0,F,F,F,F,F,F,F,0.3,0.77,55.4,58.3,65.0,55.3,58.4,64.9,0.0
2025-01-23 09:51:07,10:00:38,CV,0.865,0.875,0.458,0.401,0.018,0.016,F,F,F,F,F,F,F,0.3,0.78,55.4,58.3,65.0,55.3,58.4,64.9,0.0
2025-01-23 09:51:08,10:00:39,CV,0.86,0.908,1.224,1.111,0.049,0.044,F,F,F,F,F,F,F,0.29,0.77,55.4,58.3,65.0,55.3,58.4,65.0,0.0
2025-01-23 09:51:09,10:00:40,CV,0.855,0.866,0.581,0.503,0.023,0.02,F,F,F,F,F,F,F,0.3,0.77,55.4,58.4,64.9,55.3,58.4,65.0,0.0
