Date/Time,CycleTime,Loader,Loader SV,Voltage(V),Current(A),Watt(W),A/งฒ,W/งฒ,An_n2 On,Ca_N2 On,Non,Non,Non,Non,Non,An_H2(5L)(งค/min),Ca_Air(20L)(งค/min),An_Water(กษ),An_Humidifier(กษ),An_Line Heater(กษ),Ca_Water(กษ),Ca_Humidifier(กษ),Ca_Line Heater(กษ),
2025-01-24 5:57,10:00:31,CV,0.9,0.965,0,0,0,0,F,F,F,F,F,F,F,0.3,0.77,55.2,58.2,65,55.3,58.4,64.9,0
2025-01-24 5:57,10:00:32,CV,0.895,0.965,0,0,0,0,F,F,F,F,F,F,F,0.3,0.77,55.2,58.2,65,55.3,58.4,65,0
2025-01-24 5:57,10:00:33,CV,0.89,0.917,0,0,0,0,F,F,F,F,F,F,F,0.3,0.77,55.2,58.1,65,55.3,58.4,65,0
2025-01-24 5:57,10:00:34,CV,0.885,0.936,0,0,0,0,F,F,F,F,F,F,F,0.28,0.77,55.2,58.1,65,55.3,58.4,65,0
2025-01-24 5:57,10:00:35,CV,0.88,0.888,0.293,0.26,0.012,0.01,F,F,F,F,F,F,F,0.28,0.77,55.2,58.1,65,55.3,58.4,65,0
2025-01-24 5:57,10:00:36,CV,0.875,0.933,0,0,0,0,F,F,F,F,F,F,F,0.29,0.77,55.3,58.1,65,55.3,58.4,65,0
2025-01-24 5:57,10:00:37,CV,0.87,0.93,0,0,0,0,F,F,F,F,F,F,F,0.29,0.79,55.3,58.1,65,55.3,58.4,65,0
2025-01-24 5:57,10:00:38,CV,0.865,0.873,0.438,0.382,0.018,0.015,F,F,F,F,F,F,F,0.3,0.76,55.3,58.1,65,55.3,58.4,65,0
2025-01-24 5:57,10:00:39,CV,0.86,0.926,0,0,0,0,F,F,F,F,F,F,F,0.29,0.74,55.3,58.1,65,55.3,58.4,65,0
2025-01-24 5:58,10:00:40,CV,0.855,0.865,0.536,0.464,0.021,0.019,F,F,F,F,F,F,F,0.29,0.78,55.3,58.1,65,55.3,58.4,65,0
2025-01-24 5:58,10:00:41,CV,0.85,0.926,0,0,0,0,F,F,F,F,F,F,F,0.29,0.75,55.3,58.1,65,55.3,58.4,65,0
2025-01-24 5:58,10:00:42,CV,0.845,0.856,0.686,0.587,0.027,0.023,F,F,F,F,F,F,F,0.29,0.78,55.3,58.2,65,55.3,58.4,65,0
2025-01-24 5:58,10:00:43,CV,0.84,0.852,0.921,0.785,0.037,0.031,F,F,F,F,F,F,F,0.29,0.78,55.3,58.2,65,55.3,58.4,65,0
2025-01-24 5:58,10:00:44,CV,0.835,0.847,0.866,0.734,0.035,0.029,F,F,F,F,F,F,F,0.29,0.78,55.3,58.2,65,55.3,58.4,65,0
2025-01-24 5:58,10:00:45,CV,0.83,0.847,1.045,0.885,0.042,0.035,F,F,F,F,F,F,F,0.3,0.74,55.3,58.2,64.9,55.3,58.4,65,0
2025-01-24 5:58,10:00:46,CV,0.825,0.915,0,0,0,0,F,F,F,F,F,F,F,0.3,0.77,55.3,58.2,64.9,55.3,58.4,65,0
2025-01-24 5:58,10:00:47,CV,0.82,0.84,1.408,1.183,0.056,0.047,F,F,F,F,F,F,F,0.29,0.78,55.3,58.1,64.9,55.3,58.4,65,0
2025-01-24 5:58,10:00:48,CV,0.815,0.892,1.006,0.897,0.04,0.036,F,F,F,F,F,F,F,0.29,0.78,55.3,58.1,64.9,55.3,58.4,65,0
2025-01-24 5:58,10:00:49,CV,0.81,0.839,1.1,0.923,0.044,0.037,F,F,F,F,F,F,F,0.29,0.78,55.3,58.1,64.9,55.3,58.4,65,0
2025-01-24 5:58,10:00:50,CV,0.805,0.816,1.964,1.603,0.079,0.064,F,F,F,F,F,F,F,0.3,0.76,55.3,58.1,65,55.3,58.4,65,0
2025-01-24 5:58,10:00:51,CV,0.8,0.823,1.591,1.309,0.064,0.052,F,F,F,F,F,F,F,0.31,0.78,55.3,58.1,65,55.3,58.5,65,0
2025-01-24 5:58,10:00:52,CV,0.795,0.805,2.573,2.071,0.103,0.083,F,F,F,F,F,F,F,0.3,0.78,55.3,58.1,65,55.3,58.5,65.1,0
2025-01-24 5:58,10:00:53,CV,0.79,0.811,1.432,1.161,0.057,0.046,F,F,F,F,F,F,F,0.29,0.77,55.3,58.2,65,55.3,58.5,65.1,0
2025-01-24 5:58,10:00:54,CV,0.785,0.832,3.158,2.627,0.126,0.105,F,F,F,F,F,F,F,0.3,0.76,55.3,58.2,65,55.3,58.5,65.1,0
2025-01-24 5:58,10:00:55,CV,0.78,0.813,2.596,2.111,0.104,0.084,F,F,F,F,F,F,F,0.3,0.8,55.3,58.3,65,55.3,58.5,65.1,0
2025-01-24 5:58,10:00:56,CV,0.775,0.785,3.961,3.109,0.158,0.124,F,F,F,F,F,F,F,0.29,0.74,55.3,58.3,65,55.3,58.5,65.1,0
2025-01-24 5:58,10:00:57,CV,0.77,0.805,2.788,2.244,0.112,0.09,F,F,F,F,F,F,F,0.3,0.78,55.3,58.3,65,55.3,58.5,65.1,0
2025-01-24 5:58,10:00:58,CV,0.765,0.776,4.719,3.662,0.189,0.146,F,F,F,F,F,F,F,0.29,0.77,55.4,58.3,65,55.3,58.5,65.1,0
2025-01-24 5:58,10:00:59,CV,0.76,0.795,4.639,3.688,0.186,0.148,F,F,F,F,F,F,F,0.29,0.75,55.4,58.3,64.9,55.3,58.5,65.1,0
2025-01-24 5:58,10:01:00,CV,0.755,0.766,5.598,4.288,0.224,0.172,F,F,F,F,F,F,F,0.3,0.75,55.4,58.3,64.9,55.3,58.4,65,0
2025-01-24 5:58,10:01:01,CV,0.75,0.773,5.463,4.223,0.219,0.169,F,F,F,F,F,F,F,0.29,0.79,55.4,58.3,64.9,55.3,58.4,65,0
2025-01-24 5:58,10:01:02,CV,0.745,0.756,6.593,4.984,0.264,0.199,F,F,F,F,F,F,F,0.3,0.76,55.4,58.3,64.9,55.3,58.4,65,0
2025-01-24 5:58,10:01:03,CV,0.74,0.764,5.901,4.508,0.236,0.18,F,F,F,F,F,F,F,0.3,0.79,55.4,58.3,64.9,55.3,58.4,65,0
2025-01-24 5:58,10:01:04,CV,0.735,0.746,7.615,5.681,0.305,0.227,F,F,F,F,F,F,F,0.29,0.79,55.4,58.3,65,55.3,58.4,65,0
2025-01-24 5:58,10:01:05,CV,0.73,0.755,6.837,5.162,0.273,0.206,F,F,F,F,F,F,F,0.3,0.8,55.4,58.3,65,55.3,58.4,65,0
2025-01-24 5:58,10:01:06,CV,0.725,0.765,8.801,6.733,0.352,0.269,F,F,F,F,F,F,F,0.3,0.79,55.4,58.3,65,55.3,58.4,65,0
